week,bugs_opened,bugs_closed,avg_resolution_time,next_week_bugs,bug_risk_label
2025-12-08/2025-12-14,40,16,1.1875,60.0,0
2025-12-15/2025-12-21,60,18,0.2222222222222222,,0
